"Which ls option shows file sizes in KB/MB/GB format?","Human-readable sizes (e.g., 1K, 234M). Use with -l.","ls -lh","module01"
"What command shows your current working directory?","Print Working Directory. Shows the absolute path of the current directory.","pwd","module01"
"You SSH into a server and want to know where you currently are. Which command do you use?","Displays current working directory.","pwd","module01"
"What command lists files and directories?","Lists files and directories in the current directory.","ls","module01"
"Which command lists hidden files?","The -a option shows all files, including hidden ones (starting with .).","ls -a","module01"
"Which ls option shows detailed information including permissions and owner?","Long listing format: permissions, owner, size, date.","ls -l","module02"
"Which command shows hidden files with detailed information?","Combines -l (long), -a (all), -h (human-readable).","ls -lah","module01"
"Which command lists files sorted by modification time?","Sorts by modification time, newest first.","ls -lt","module01"
"Which command changes directory?","Changes current directory to specified path.","cd","module01"
"How do you return to your home directory from anywhere?","~ expands to the user's home directory.","cd ~","module01"
"How do you move to the parent directory?",".. refers to the parent directory.","cd ..","module01"
"How do you move up two directory levels?","Moves up two levels in the directory tree.","cd ../..","module01"
"How do you return to the previous directory?","Switches to the last working directory.","cd -","module01"
"In Linux, what does '.' represent?","Current directory. Example: ls . lists contents of the current directory."," . ","module01"
"In Linux, what does '..' represent?","Parent directory. Example: cd .. moves up one level."," .. ","module01"
"What command displays the current logged-in username?","Prints the effective user name.","whoami","module01"
"What command displays the system hostname?","Shows the system's host name.","hostname","module01"
"What command displays Linux kernel and system information?","Displays all system information (kernel name, hostname, kernel version, etc.).","uname -a","module01"
"What command displays OS distribution information?","Reads the os-release file to show distribution details.","cat /etc/os-release","module01"
"What command displays current date and time?","Prints the current date and time.","date","module01"
"What command displays system uptime?","Shows how long the system has been running and load averages.","uptime","module01"
"What command clears the terminal screen?","Clears the screen (also Ctrl+L).","clear","module01"
"What keyboard shortcut clears the terminal?","Keyboard shortcut to clear terminal screen.","Ctrl+L","module01"
"How do you display command history?","Shows a numbered list of previously executed commands.","history","module01"
"How do you search command history interactively?","Starts reverse-i-search; type to find a previous command.","Ctrl+R","module01"
"How do you rerun the previous command?","Reruns the last command from history.","!!","module01"
"A DevOps engineer forgets a command executed 10 minutes ago. What is the fastest way to search for it?","Initiates interactive history search.","Ctrl+R","module01"
"What command displays the absolute path of the current directory?","Prints the full path of the current directory.","pwd","module01"
"You need to verify whether you are on the correct production server. Which two commands are commonly used?","hostname shows the server name, whoami shows the logged-in user.","hostname && whoami","module01"
"What command displays the current month's calendar?","Shows a calendar of the current month.","cal","module01"
"How can you display today's date in YYYY-MM-DD format?","%F outputs the date as YYYY-MM-DD.","date +%F","module01"
"What command displays the current shell process ID?","$$ is the PID of the current shell.","echo $$","module01"
"How do you display environment variables?","Lists all environment variables.","env","module01"
"Which command displays the value of a specific environment variable?","Use echo $VARIABLE to print its value.","echo $HOME","module01"
"What environment variable stores the user's home directory?","$HOME contains the path to the user's home directory.","HOME","module01"
"What environment variable stores the current shell path?","$SHELL points to the path of the current shell executable.","SHELL","module01"
"What environment variable stores executable search paths?","$PATH lists directories (colon-separated) where the shell looks for commands.","PATH","module01"
"Why is PATH important?","When you type a command, the shell searches directories in PATH for the executable. If its directory is missing, you get 'command not found'.","","module01"
"You install kubectl but the command is not found. Which environment variable should be checked first?","Ensure the directory containing kubectl is in PATH or use its absolute path.","echo $PATH","module01"
"Which command shows where a command executable is located?","Searches PATH and prints the full path of the executable.","which","module01"
"Example: find location of python executable?","Example output: /usr/bin/python3","which python3","module01"
"Example: find location of docker executable?","Example output: /usr/bin/docker","which docker","module01"
"What command shows your current terminal type?","Prints terminal type (e.g., xterm-256color).","echo $TERM","module01"
"What command displays the current user's home directory?","Prints the value of the HOME environment variable.","echo $HOME","module01"
"You want to know which shell is currently running. Which command do you use?","Prints the path of the current shell.","echo $SHELL","module01"
"What command displays the current username and hostname together?","Runs both commands sequentially: username then hostname.","whoami && hostname","module01"
"What command is commonly used first after SSHing into a server?","Check current directory, user identity, and server hostname.","pwd\nwhoami\nhostname","module01"
"What navigation commands are used constantly by DevOps engineers?","Essential for moving around and inspecting the filesystem.","pwd\nls\ncd","module01"
"A Linux interview asks: 'How do you quickly navigate back to the previous directory?'","Switches to the previous working directory.","cd -","module01"
"A Linux interview asks: 'How do you search command history interactively?'","Press Ctrl+R and type to search through command history.","Ctrl+R","module01"
"A Linux interview asks: 'How do you identify where a command binary is stored?'","Example: which python3","which <command>","module01"
